doc #,high_score
501,0.205197
502,0.296812
503,0.573016
504,0.646205
505,0.518271
506,0.289904
507,0.223782
508,0.362903
509,0.263456
510,0.171791
511,0.166513
512,0.305189
513,0.303096
514,0.542026
515,0.385830
516,0.193522
517,0.290900
518,0.409933
519,0.379992
520,0.230166
521,0.382882
522,0.329597
523,0.305671
524,0.466295
525,0.587373
526,0.155069
527,0.318957
528,0.298993
529,0.257614
530,0.573016
531,0.552811
532,0.127192
533,0.313742
534,0.553505
535,0.312231
536,0.165783
537,0.315962
538,0.247054
539,0.438858
540,0.353920
541,0.257338
542,0.518683
543,0.255703
544,0.608443
545,0.408698
546,0.196511
547,0.466295
548,0.260964
549,0.769660
550,0.274765
551,0.356929
552,0.239687
553,0.464851
554,0.412014
555,0.412014
556,0.233701
557,0.649243
558,0.190280
559,0.436411
560,0.402105
561,0.392969
562,0.489779
563,0.441692
564,0.230344
565,0.228754
566,0.344394
567,0.340821
568,0.187017
569,0.403924
570,0.290547
571,0.215137
572,0.318521
573,0.478378
574,0.707930
575,0.613870
576,0.281022
577,0.286331
578,0.309166
579,0.434910
580,0.493477
581,0.513945
582,0.189156
583,0.324064
584,0.318957
585,0.229537
586,0.588846
587,0.382895
588,0.320828
589,0.403294
590,0.338262
591,0.291606
592,0.214225
593,0.426128
594,0.207217
595,0.278205
596,0.470398
597,0.242607
598,0.421505
599,0.270418
600,0.290892
601,0.116613
602,0.249509
603,0.408698
604,0.394224
605,0.351423
606,0.317306
607,0.504632
608,0.226105
609,0.437246
610,0.236462
611,0.525155
612,0.494658
613,0.653492
614,0.332068
615,0.340336
616,0.280475
617,0.320653
618,0.520945
619,0.446955
620,0.309203
621,0.319461
622,0.378232
623,0.357327
624,0.308654
625,0.199154
626,0.394140
627,0.371315
628,0.195272
629,0.424423
630,0.602223
631,0.366638
632,0.410937
633,0.479741
634,0.273601
635,0.334900
636,0.371105
637,0.578876
638,0.398280
639,0.504632
640,0.406634
641,0.369497
642,0.312930
643,0.316631
644,0.435866
645,0.532076
646,0.261480
647,0.406277
648,0.495918
649,0.295128
650,0.632948
651,0.720462
652,0.448435
653,0.177020
654,0.206492
655,0.285161
656,0.212771
657,0.578876
658,0.271764
659,0.358396
660,0.396836
661,0.331504
662,0.167999
663,0.613870
664,0.424198
665,0.438773
666,0.245608
667,0.448435
668,0.495918
669,0.368722
670,0.199804
671,0.189685
672,0.380655
673,0.226519
674,0.317581
675,0.268800
676,0.331504
677,0.420207
678,0.460775
679,0.337181
680,0.473680
681,0.204441
682,0.338862
683,0.226028
684,0.330068
685,0.290442
686,0.453062
687,0.193197
688,0.757900
689,0.222197
690,0.175023
691,0.416996
692,0.487275
693,0.335286
694,0.531455
695,0.382990
696,0.468260
697,0.382990
698,0.246101
699,0.234695
700,0.178509
701,0.458521
702,0.300505
703,0.287498
704,0.233670
705,0.274965
706,0.604820
707,0.420207
708,0.513945
709,0.410450
710,0.294993
711,0.234748
712,0.400335
713,0.416801
714,0.324307
715,0.283565
716,0.505432
717,0.283222
718,0.680066
719,0.353889
720,0.492785
721,0.492927
722,0.331175
723,0.416439
724,0.408745
725,0.208857
726,0.315962
727,0.370067
728,0.432898
729,0.318521
730,0.297075
731,0.424423
732,0.235297
733,0.171748
734,0.324049
735,0.520945
736,0.594983
737,0.288191
738,0.329417
739,0.458521
740,0.461205
741,0.319127
742,0.241274
743,0.646205
744,0.757900
745,0.199663
746,0.366453
747,0.368354
748,0.225947
749,0.518683
750,0.534802
751,0.289620
752,0.395383
753,0.541819
754,0.195530
755,0.290892
756,0.146180
757,0.312533
758,0.307724
759,0.155494
760,0.392969
761,0.303096
762,0.375814
763,0.369518
764,0.635926
765,0.201389
766,0.158078
767,0.290900
768,0.458113
769,0.329597
770,0.630630
771,0.653492
772,0.236685
773,0.264314
774,0.488701
775,0.167326
776,0.341596
777,0.891963
778,0.339837
779,0.401205
780,0.723213
781,0.471743
782,0.481683
783,0.579512
784,0.728962
785,0.447306
786,0.261369
787,0.285182
788,0.225951
789,0.442229
790,0.306475
791,0.723213
792,0.414255
793,0.284465
794,0.324968
795,0.297819
796,0.275484
797,0.458113
798,0.413421
799,0.335165
800,0.532076
801,0.068464
802,0.287498
803,0.249169
804,0.236984
805,0.260087
806,0.153982
807,0.481609
808,0.579512
809,0.432621
810,0.436411
811,0.423970
812,0.282553
813,0.257154
814,0.182241
815,0.891963
816,0.435839
817,0.321801
